# Genepanel: Mendeliom Version: 01 Date: 2018-08-09
#gene symbol	HGNC	phenotype	inheritance	omim_number	pmid	inheritance info	comment	Phenotype categories (multiple columns)
DYNC1H1	2961	Charcot-Marie-Tooth disease, axonal, type 20	AD	614228				
DYNC1H1	2961	Mental retardation, autosomal dominant 13	AD	614563				
DYNC1H1	2961	Spinal muscular atrophy, lower extremity-predominant 1, AD	AD	158600				
DYNC2H1	2962	Short-rib thoracic dysplasia 3 with or without polydactyly	AR;DR	613091				
DYNC2LI1	24595	Short-rib thoracic dysplasia 15 with polydactyly	AR	617088				
DYRK1A	3091	Mental retardation, autosomal dominant 7	AD	614104				
DYRK1B	3092	Abdominal obesity-metabolic syndrome 3	AD	615812				
DYSF	3097	Miyoshi muscular dystrophy 1	AR	254130				
DYSF	3097	Muscular dystrophy, limb-girdle, type 2B	AR	253601				
DYSF	3097	Myopathy, distal, with anterior tibial onset	AR	606768				
DYX1C1	21493	Ciliary dyskinesia, primary, 25	AR	615482				
DZIP1L	26551	Polycystic kidney disease 5	AR	617610				
E4F1	3121	Mitochondrial disorder, Leigh disease	AR		26968897			
EARS2	29419	Combined oxidative phosphorylation deficiency 12	AR	614924				
EBF3	19087	Hypotonia, ataxia, and delayed development syndrome	AD	617330				
EBP	3133	Chondrodysplasia punctata, X-linked dominant	XD	302960				
EBP	3133	MEND syndrome	XR	300960				
ECE1	3146	?Hirschsprung disease, cardiac defects, and autonomic dysfunction	AD	613870				
ECEL1	3147	Arthrogryposis, distal, type 5D	AR	615065				
ECHS1	3151	Mitochondrial short-chain enoyl-CoA hydratase 1 deficiency	AR	616277				
ECM1	3153	Urbach-Wiethe disease	AR	247100				
EDA	3157	Tooth agenesis, selective, X-linked 1	XD	313500				
EDA	3157	Ectodermal dysplasia 1, hypohidrotic, X-linked	XR	305100				
EDAR	2895	Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant	AD	129490				
EDAR	2895	Ectodermal dysplasia 10B, hypohidrotic/hair/tooth type, autosomal recessive	AR	224900				
EDARADD	14341	Ectodermal dysplasia 11A, hypohidrotic/hair/tooth type, autosomal dominant	AD	614940				
EDARADD	14341	Ectodermal dysplasia 11B, hypohidrotic/hair/tooth type, autosomal recessive	AR	614941				
EDC3	26114	?Mental retardation, autosomal recessive 50	AR	616460				
EDN1	3176	Auriculocondylar syndrome 3	AR	615706				
EDN1	3176	Question mark ears, isolated	AD	612798				
EDN3	3178	Central hypoventilation syndrome, congenital	AD	209880				
EDN3	3178	Waardenburg syndrome, type 4B	AR;AD	613265				
EDNRA	3179	Mandibulofacial dysostosis with alopecia	AD	616367				
EDNRB	3180	ABCD syndrome	AR	600501				
EDNRB	3180	Waardenburg syndrome, type 4A	AR;AD	277580				
EED	3188	Cohen-Gibson syndrome	AD	617561				
EEF1A2	3192	Epileptic encephalopathy, early infantile, 33	AD	616409				
EEF1A2	3192	Mental retardation, autosomal dominant 38	AD	616393				
EEF2	3214	?Spinocerebellar ataxia 26	AD	609306				
EFEMP1	3218	Doyne honeycomb degeneration of retina	AD	126600				
EFEMP2	3219	Cutis laxa, autosomal recessive, type IB	AR	614437				
EFHC1	16406	{Epilepsy, juvenile absence, susceptibility to, 1}	AD	607631				
EFHC1	16406	{Myoclonic epilepsy, juvenile, susceptibility to, 1}	AD	254770				
EFNA4	3224	Craniosynostosis 			29168297			
EFNB1	3226	Craniofrontonasal dysplasia	XD	304110				
EFTUD2	30858	Mandibulofacial dysostosis, Guion-Almeida type	AD	610536				
EGF	3229	Hypomagnesemia 4, renal	AR	611718		GUS		
EGFR	3236	?Inflammatory skin and bowel disease, neonatal, 2	AR	616069				
EGFR	3236	Adenocarcinoma of lung, response to tyrosine kinase inhibitor in	AR	211980				
EGFR	3236	Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in	AR	211980				
EGLN1	1232	Erythrocytosis, familial, 3	AD	609820				
EGR2	3239	Charcot-Marie-Tooth disease, type 1D	AD	607678				
EGR2	3239	Dejerine-Sottas disease	AR;AD	145900				
EGR2	3239	Neuropathy, congenital hypomyelinating, 1	AR;AD	605253				
EHHADH	3247	?Fanconi renotubular syndrome 3	AD	615605				
EHMT1	24650	Kleefstra syndrome 1	AD	610253				
EIF2AK3	3255	Wolcott-Rallison syndrome	AR	226980				
EIF2AK4	19687	Pulmonary venoocclusive disease 2	AR	234810				
EIF2B1	3257	Leukoencephalopathy with vanishing white matter	AR	603896				
EIF2B2	3258	Leukoencephalopathy with vanishing white matter	AR	603896				
EIF2B2	3258	Ovarioleukodystrophy	AR	603896				
EIF2B3	3259	Leukoencephalopathy with vanishing white matter	AR	603896				
EIF2B4	3260	Leukoencephalopathy with vanishing white matter	AR	603896				
EIF2B4	3260	Ovarioleukodystrophy	AR	603896				
EIF2B5	3261	Leukoencephalopathy with vanishing white matter	AR	603896				
EIF2B5	3261	Ovarioleukodystrophy	AR	603896				
EIF2S3	3267	MEHMO syndrome	X	300148				
EIF4A3	18683	Robin sequence with cleft mandible and limb anomalies	AR	268305				
ELAC2	14198	Combined oxidative phosphorylation deficiency 17	AR	615440				
ELANE	3309	Neutropenia, cyclic	AD	162800				
ELANE	3309	Neutropenia, severe congenital 1, autosomal dominant	AD	202700				
ELMO2	17233	Vascular malformation, primary intraosseous	AR	606893				
ELOVL4	14415	Ichthyosis, spastic quadriplegia, and mental retardation	AR	614457				
ELOVL4	14415	Spinocerebellar ataxia 34	AD	133190				
ELOVL4	14415	Stargardt disease 3	AD	600110				
ELOVL5	21308	Spinocerebellar ataxia 38	AD	615957				
ELP2	18248	Mental retardation, autosomal recessive 58	AR	617270				
ELP4	1171	?Aniridia 2	AD	617141				
EMC1	28957	Cerebellar atrophy, visual impairment, and psychomotor retardation	AR	616875				
EMD	3331	Emery-Dreifuss muscular dystrophy 1, X-linked	XR	310300				
EMG1	16912	Bowen-Conradi syndrome	AR	211180				
EMILIN1	19880	Connentive tissue disorder	AD		26462740	GUS	gain-of-function hypotese	
EML1	3330	Band heterotopia	AR	600348				
EMP2	3334	Nephrotic syndrome, type 10	AR	615861				
EMR2	3337	Vibratory urticaria	AD	125630				
EMX2	3341	Schizencephaly	AD	269160				
ENAM	3344	Amelogenesis imperfecta, type IB	AD	104500				
ENAM	3344	Amelogenesis imperfecta, type IC	AR	204650				
ENG	3349	Telangiectasia, hereditary hemorrhagic, type 1	AD	187300				
ENO3	3354	?Glycogen storage disease XIII	AR	612932				
ENPP1	3356	Arterial calcification, generalized, of infancy, 1	AR	208000				
ENPP1	3356	Cole disease	AD	615522				
ENPP1	3356	Hypophosphatemic rickets, autosomal recessive, 2	AR	613312				
ENTPD1	3363	Spastic paraplegia 64, autosomal recessive	AR	615683				
EOGT	28526	Adams-Oliver syndrome 4	AR	615297				
EOMES	3372	microcephaly with polymicrogyria and corpus callosum agenesis.	AR	 	17353897	GUS	translocation	
EP300	3373	Rubinstein-Taybi syndrome 2	AD	613684				
EPAS1	3374	Erythrocytosis, familial, 4	AD	611783				
EPB41	3377	Elliptocytosis-1	AD,AR	611804				
EPB41L1	3378	?Mental retardation, autosomal dominant 11	AD	614257		GUS		
EPB42	3381	Spherocytosis, type 5	AR	612690				
EPB42	3381	cytopaenias and cogenital anaemias	AR					
EPCAM	11529	Diarrhea 5, with tufting enteropathy, congenital	AR	613217				
EPG5	29331	Vici syndrome	AR	242840				
EPHA2	3386	Cataract 6, multiple types	AD	116600				
EPHB4	3395	{Hydrops fetalis, nonimmune, and/or atrial septal defect}	AD	617300				
EPHX1	3401	Hypercholanemia, familial	AR	607748				
EPM2A	3413	Epilepsy, progressive myoclonic 2B (Lafora)	AR	254780				
EPM2A	3413	Epilepsy, progressive myoclonic 2A (Lafora)	AR	254780				
EPS8	3420	?Deafness, autosomal recessive 102	AR	615974				
EPS8L2	21296	Deafness autosomal recessive 106	AR	617637				
ERAL1	3424	Perrault syndrome 6	AR	617565				
ERBB3	3431	Lethal congenital contractural syndrome 2	AR	607598				
ERBB4	3432	Amyotrophic lateral sclerosis 19	AD	615515				
ERCC1	3433	Cerebrooculofacioskeletal syndrome 4	AR	610758				
ERCC2	3434	?Cerebrooculofacioskeletal syndrome 2	AR	610756				
ERCC2	3434	Trichothiodystrophy 1, photosensitive	AR	601675				
ERCC2	3434	Xeroderma pigmentosum, group D	AR	278730				
ERCC3	3435	Trichothiodystrophy 2, photosensitive	AR	616390				
ERCC3	3435	Xeroderma pigmentosum, group B	AR	610651				
ERCC4	3436	Fanconi anemia, complementation group Q	AR	615272				
ERCC4	3436	Xeroderma pigmentosum, group F	AR	278760				
ERCC4	3436	Xeroderma pigmentosum, type F/Cockayne syndrome	AR	278760				
ERCC5	3437	Cerebrooculofacioskeletal syndrome 3	AR	616570				
ERCC5	3437	Xeroderma pigmentosum, group G	AR	278780				
ERCC5	3437	Xeroderma pigmentosum, group G/Cockayne syndrome	AR	278780				
ERCC6	3438	Cerebrooculofacioskeletal syndrome 1	AR	214150				
ERCC6	3438	Cockayne syndrome, type B	AR	133540				
ERCC6	3438	De Sanctis-Cacchione syndrome	AR	278800				
ERCC6	3438	Premature ovarian failure 11	AD	616946				
ERCC6	3438	UV-sensitive syndrome 1	AR	600630				
ERCC6L2	26922	Bone marrow failure syndrome 2	AR	615715				
ERCC8	3439	Cockayne syndrome, type A	AR	216400				
ERCC8	3439	UV-sensitive syndrome 2	AR	614621				
ERF	3444	Chitayat syndrome	AD	617180				
ERF	3444	Craniosynostosis 4	AD	600775				
ERLIN1	16947	Spastic paraplegia 62	AR	615681				
ERLIN2	1356	Spastic paraplegia 18, autosomal recessive	AR	611225				
ERMARD	21056	?Periventricular nodular heterotopia 6	AD	615544				
ESCO2	27230	Roberts syndrome	AR	268300				
ESCO2	27230	SC phocomelia syndrome	AR	269000				
ESPN	13281	Deafness, autosomal recessive 36	AR	609006				
ESPN	13281	Deafness, neurosensory, without vestibular involvement, autosomal dominant	AD	 	 			
ESR1	3467	Estrogen resistance	AR	615363				
ESRRB	3473	Deafness, autosomal recessive 35	AR	608565				
ETFA	3481	Glutaric acidemia IIA	AR	231680				
ETFB	3482	Glutaric acidemia IIB	AR	231680				
ETFDH	3483	Glutaric acidemia IIC	AR	231680				
ETHE1	23287	Ethylmalonic encephalopathy	AR	602473				
ETV6	3495	Thrombocytopenia 5	AD	616216				
EVC	3497	?Weyers acrofacial dysostosis	AD	193530				
EVC	3497	Ellis-van Creveld syndrome	AR	225500				
EVC2	19747	Ellis-van Creveld syndrome	AR	225500				
EVC2	19747	Weyers acrofacial dysostosis	AD	193530				
EXOSC2	17097	Short stature, hearing loss, retinitis pigmentosa, and distinctive facies	AR	617763				
EXOSC3	17944	Pontocerebellar hypoplasia, type 1B	AR	614678				
EXOSC8	17035	Pontocerebellar hypoplasia, type 1C	AR	616081				
EXPH5	30578	Epidermolysis bullosa, nonspecific, autosomal recessive	AR	615028				
EXT1	3512	Chondrosarcoma	AR	215300				
EXT1	3512	Exostoses, multiple, type 1	AD	133700				
EXT2	3513	?Seizures, scoliosis, and macrocephaly syndrome	AR	616682				
EXT2	3513	Exostoses, multiple, type 2	AD	133701				
EXTL3	3518	Immunoskeletal dysplasia with neurodevelopmental abnormalities	AR	617425				
EYA1	3519	?Otofaciocervical syndrome	AD	166780				
EYA1	3519	Anterior segment anomalies with or without cataract	AD	602588				
EYA1	3519	Branchiootic syndrome 1	AD	602588				
EYA1	3519	Branchiootorenal syndrome 1, with or without cataracts	AD	113650				
EYA4	3522	Cardiomyopathy, dilated, 1J	AD	605362				
EYA4	3522	Deafness, autosomal dominant 10	AD	601316				
EYS	21555	Retinitis pigmentosa 25	AR	602772				
EZH2	3527	Weaver syndrome	AD	277590				
F10	3528	Factor X deficiency	AR	227600				
F11	3529	Factor XI deficiency, autosomal dominant	AD	612416				
F11	3529	Factor XI deficiency, autosomal recessive	AR	612416				
F12	3530	Angioedema, hereditary, type III	AD	610618				
F12	3530	Factor XII deficiency	AR	234000				
F13A1	3531	Factor XIIIA deficiency	AR	613225				
F13B	3534	Factor XIIIB deficiency	AR	613235				
F2	3535	Dysprothrombinemia	AR	613679				
F2	3535	Hypoprothrombinemia	AR	613679				
F2	3535	Thrombophilia due to thrombin defect	AD	188050				
F5	3542	Factor V deficiency	AR	227400				
F5	3542	Thrombophilia due to activated protein C resistance	AD	188055				
F7	3544	Factor VII deficiency	AR	227500				
F8	3546	Hemophilia A	XR	306700				
F9	3551	Hemophilia B	XR	306900				
F9	3551	Thrombophilia, X-linked, due to factor IX defect	X	300807				
FA2H	21197	Spastic paraplegia 35, autosomal recessive	AR	612319				
FADD	3573	Infections, recurrent, with encephalopathy, hepatic dysfunction, and cardiovascular malformations	AR	613759				
FAH	3579	Tyrosinemia, type I	AR	276700				
FAM105B	25118	Autoinflammation, panniculitis, and dermatosis syndrome	AR	617099				
FAM111A	24725	Gracile bone dysplasia	AD	602361				
FAM111A	24725	Kenny-Caffey syndrome, type 2	AD	127000				
FAM111B	24200	Poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis	AD	615704				
FAM126A	24587	Leukodystrophy, hypomyelinating, 5	AR	610532				
FAM134B	25964	Neuropathy, hereditary sensory and autonomic, type IIB	AR	613115				
FAM161A	25808	Retinitis pigmentosa 28	AR	606068				
FAM20A	23015	Amelogenesis imperfecta, type IG (enamel-renal syndrome)	AR	204690				
FAM20C	22140	Raine syndrome	AR	259775				
FAM58A	28434	STAR syndrome	XD	300707				
FAM65B	13872	?Deafness, autosomal recessive 104	AR	616515				
FAM83H	24797	Amelogenesis imperfecta, type IIIA	AD	130900				
FAN1	29170	Interstitial nephritis, karyomegalic	AR	614817				
FANCA	3582	Fanconi anemia, complementation group A	AR	227650				
FANCB	3583	Fanconi anemia, complementation group B	X	300514				
FANCC	3584	Fanconi anemia, complementation group C	AR	227645				
FANCD2	3585	Fanconi anemia, complementation group D2	AR	227646				
FANCE	3586	Fanconi anemia, complementation group E	AR	600901				
FANCF	3587	Fanconi anemia, complementation group F	AR	603467				
FANCG	3588	Fanconi anemia, complementation group G	AR	614082				
FANCI	25568	Fanconi anemia, complementation group I	AR	609053				
FANCL	20748	Fanconi anemia, complementation group L	AR	614083				
FAR1	26222	Peroxisomal fatty acyl-CoA reductase 1 disorder	AR	616154				
FARS2	21062	Combined oxidative phosphorylation deficiency 14	AR	614946				
FARS2	21062	Spastic paraplegia 77, autosomal recessive	AR	617046				
FAS	11920	Autoimmune lymphoproliferative syndrome, type IA	AD	601859				
FASLG	11936	Autoimmune lymphoproliferative syndrome, type IB	AD	601859				
FASN	3594	epileptic encephalopaty, ID	AR		21937992, 25262651	GUS		
FASTKD2	29160	?Mitochondrial complex IV deficiency	AR	220110				
FAT2	3596	Spinocerebellar ataxia 45	AD	617769				
FAT4	23109	Hennekam lymphangiectasia-lymphedema syndrome 2	AR	616006				
FAT4	23109	Van Maldergem syndrome 2	AR	615546				
FBLN1	3600	Synpolydactyly, 3/3'4, associated with metacarpal and metatarsal synostoses	AD	608180				
FBLN5	3602	Cutis laxa, autosomal dominant 2	AD	614434				
FBLN5	3602	Cutis laxa, autosomal recessive, type IA	AR	219100				
FBLN5	3602	Macular degeneration, age-related, 3	AD	608895				
FBLN5	3602	Neuropathy, hereditary, with or without age-related macular degeneration	AD	608895				
FBN1	3603	Acromicric dysplasia	AD	102370				
FBN1	3603	Ectopia lentis, familial	AD	129600				
FBN1	3603	Geleophysic dysplasia 2	AD	614185				
FBN1	3603	Marfan lipodystrophy syndrome	AD	616914				
FBN1	3603	Marfan syndrome	AD	154700				
FBN1	3603	MASS syndrome	AD	604308				
FBN1	3603	Stiff skin syndrome	AD	184900				
FBN1	3603	Weill-Marchesani syndrome 2, dominant	AD	608328				
FBN2	3604	Contractural arachnodactyly, congenital	AD	121050				
FBN2	3604	Macular degeneration, early-onset	AD	616118				
FBP1	3606	Fructose-1,6-bisphosphatase deficiency	AR	229700				
FBXL4	13601	Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type)	AR	615471				
FBXO31	16510	?Mental retardation, autosomal recessive 45	AR	615979				
FBXO38	28844	Neuronopathy, distal hereditary motor, type IID	AD	615575				
FBXO7	13586	Parkinson disease 15, autosomal recessive	AR	260300				
FCGR3A	3619	Immunodeficiency 20	AR	615707				
FCN3	3625	Immunodeficiency due to ficolin 3 deficiency	AR	613860				
FDPS	3631	Porokeratosis 9, multiple types	AD	616631				
FDX1L	30546	mitochondrial muscle myopathy	AR		24281368			
FDXR	3642	Auditory neuropathy and optic atrophy	AR	617717				
FECH	3647	Protoporphyria, erythropoietic, autosomal recessive	AR	177000				
FERMT1	15889	Kindler syndrome	AR	173650				
FERMT3	23151	Leukocyte adhesion deficiency, type III	AR	612840				
FEZF1	22788	Hypogonadotropic hypogonadism 22, with or without anosmia	AR	616030				
FGA	3661	Afibrinogenemia, congenital	AR	202400				
FGA	3661	Amyloidosis, familial visceral	AD	105200				
FGA	3661	Dysfibrinogenemia, congenital	AD, AR	616004				
FGB	3662	Afibrinogenemia, congenital	AR	202400				
FGB	3662	Dysfibrinogenemia, congenital	AD, AR	616004				
FGB	3662	Hypofibrinogenemia, congenital	AR	202400				
FGD1	3663	Aarskog-Scott syndrome	XR	305400				
FGD1	3663	Mental retardation, X-linked syndromic 16	XR	305400				
FGD4	19125	Charcot-Marie-Tooth disease, type 4H	AR	609311				
FGF10	3666	Aplasia of lacrimal and salivary glands	AD	180920				
FGF10	3666	LADD syndrome	AD	149730				
FGF12	3668	Epileptic encephalopathy, early infantile, 47	AD	617166				
FGF14	3671	Spinocerebellar ataxia 27	AD	609307				
FGF17	3673	Hypogonadotropic hypogonadism 20 with or without anosmia	AD	615270				
FGF20	3677	?Renal hypodysplasia/aplasia 2	AR	615721				
FGF23	3680	Hypophosphatemic rickets, autosomal dominant	AD	193100				
FGF23	3680	Tumoral calcinosis, hyperphosphatemic, familial	AR	211900				
FGF3	3681	Deafness, congenital with inner ear agenesis, microtia, and microdontia	AR	610706				
FGF5	3683	Trichomegaly	AR	190330				
FGF8	3686	Hypogonadotropic hypogonadism 6 with or without anosmia	AD	612702				
FGF9	3687	Multiple synostoses syndrome 3	AD	612961				
FGFR1	3688	Hartsfield syndrome	AD	615465				
FGFR1	3688	Hypogonadotropic hypogonadism 2 with or without anosmia	AD	147950				
FGFR1	3688	Jackson-Weiss syndrome	AD	123150				
FGFR1	3688	Osteoglophonic dysplasia	AD	166250				
FGFR1	3688	Pfeiffer syndrome	AD	101600				
FGFR1	3688	Trigonocephaly 1	AD	190440				
FGFR2	3689	Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis	AD	207410				
FGFR2	3689	Apert syndrome	AD	101200				
FGFR2	3689	Beare-Stevenson cutis gyrata syndrome	AD	123790				
FGFR2	3689	Bent bone dysplasia syndrome	AD	614592				
FGFR2	3689	Craniofacial-skeletal-dermatologic dysplasia	AD	101600				
FGFR2	3689	Crouzon syndrome	AD	123500				
FGFR2	3689	Jackson-Weiss syndrome	AD	123150				
FGFR2	3689	LADD syndrome	AD	149730				
FGFR2	3689	Pfeiffer syndrome	AD	101600				
FGFR2	3689	Saethre-Chotzen syndrome	AD	101400				
FGFR2	3689	Scaphocephaly and Axenfeld-Rieger anomaly	AD					
FGFR2	3689	Scaphocephaly, maxillary retrusion, and mental retardation	AD	609579				
FGFR3	3690	Achondroplasia	AD	100800				
FGFR3	3690	CATSHL syndrome	AR;AD	610474				
FGFR3	3690	Crouzon syndrome with acanthosis nigricans	AD	612247				
FGFR3	3690	Hypochondroplasia	AD	146000				
FGFR3	3690	LADD syndrome	AD	149730				
FGFR3	3690	Muenke syndrome	AD	602849				
FGFR3	3690	SADDAN	AD	616482				
FGFR3	3690	Thanatophoric dysplasia, type I	AD	187600				
FGFR3	3690	Thanatophoric dysplasia, type II	AD	187601				
FGG	3694	Afibrinogenemia, congenital	AR	202400				
FGG	3694	Dysfibrinogenemia, congenital	AD;AR	616004				
FGG	3694	Hypodysfibrinogenemia	AD;AR	616004				
FGG	3694	Hypofibrinogenemia, congenital	AR	202400				
FH	3700	Fumarase deficiency	AR	606812				
FH	3700	Leiomyomatosis and renal cell cancer	AD	150800				
FH	3700	Hypercholesterolemia, familial	AD	143890				
FH	3700	LDL cholesterol level QTL2	AD	143890				
FHL1	3702	Hemophagocytic lymphohistiocytosis, familial, 1	AR	267700				
FHL1	3702	?Uruguay faciocardiomusculoskeletal syndrome	XR	300280				
FHL1	3702	Emery-Dreifuss muscular dystrophy 6, X-linked	XR	300696				
FHL1	3702	Myopathy, X-linked, with postural muscle atrophy	XR	300696				
FHL1	3702	Reducing body myopathy, X-linked 1a, severe, infantile or early childhood onset	XD	300717				
FHL1	3702	Reducing body myopathy, X-linked 1b, with late childhood or adult onset	X	300718				
FHL1	3702	Scapuloperoneal myopathy, X-linked dominant	XD	300695				
FIBP	3705	Thauvin-Robinet-Faivre syndrome	AR	617107				
FIG4	16873	?Polymicrogyria, bilateral temporooccipital	AR	612691				
FIG4	16873	Amyotrophic lateral sclerosis 11	AD	612577				
FIG4	16873	Charcot-Marie-Tooth disease, type 4J	AR	611228				
FIG4	16873	Yunis-Varon syndrome	AR	216340				
FIGLA	24669	Premature ovarian failure 6	AD	612310				
FKBP10	18169	Bruck syndrome 1	AR	259450				
FKBP10	18169	Osteogenesis imperfecta, type XI	AR	610968				
FKBP14	18625	Ehlers-Danlos syndrome, kyphoscoliotic type, 2	AR	614557				
FKRP	17997	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 5	AR	613153				
FKRP	17997	Muscular dystrophy-dystroglycanopathy (congenital with or without mental retardation), type B, 5	AR	606612				
FKRP	17997	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 5	AR	607155				
FKTN	3622	Cardiomyopathy, dilated, 1X	AR	611615				
FKTN	3622	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4	AR	253800				
FKTN	3622	Muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type B, 4	AR	613152				
FKTN	3622	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4	AR	611588				
FLAD1	24671	Lipid storage myopathy due to flavin adenine dinucleotide synthetase deficiency	AR	255100				
FLCN	27310	Birt-Hogg-Dube syndrome	AD	135150				
FLCN	27310	Pneumothorax, primary spontaneous	AD	173600				
FLG	3748	Ichthyosis vulgaris	AD	146700				
FLI1	3749	Bleeding disorder, platelet-type, 21	AR;AD	617443				
FLNB	3755	Atelosteogenesis, type I	AD	108720				
FLNB	3755	Atelosteogenesis, type III	AD	108721				
FLNB	3755	Boomerang dysplasia	AD	112310				
FLNB	3755	Larsen syndrome	AD	150250				
FLNB	3755	Spondylocarpotarsal synostosis syndrome	AR	272460				
FLNC	3756	Cardiomyopathy, familial hypertrophic, 26	AD					
FLNC	3756	Cardiomyopathy, familial restrictive 5	AD	617047				
FLNC	3756	Myopathy, distal, 4	AD	614065				
FLNC	3756	Myopathy, myofibrillar, 5	AD	609524				
FLRT3	3762	Hypogonadotropic hypogonadism 21 with anosmia	AD	615271				
FLT4	3767	Lymphedema, hereditary, IA	AD	153100				
FLVCR1	24682	Ataxia, posterior column, with retinitis pigmentosa	AR	609033				
FLVCR2	20105	Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome	AR	225790				
FMN2	14074	Mental retardation, autosomal recessive 47	AR	616193				
FMO3	3771	Trimethylaminuria	AR	602079				
FMR1	3775	Fragile X syndrome	XD	300624				
FMR1	3775	Fragile X tremor/ataxia syndrome	XD	300623				
FMR1	3775	Premature ovarian failure 1	X	311360				
FN1	3778	Glomerulopathy with fibronectin deposits 2	AD	601894				
FN1	3778	Plasma fibronectin deficiency	AD	614101				
FN1	3778	Spondylometaphyseal dysplasia, corner fracture type	AD	184255				
FOLR1	3791	Neurodegeneration due to cerebral folate transport deficiency	AR	613068				
FOXC1	3800	Anterior segment dysgenesis 3, multiple subtypes	AD	601631				
FOXC1	3800	Axenfeld-Rieger syndrome, type 3	AD	602482				
FOXC2	3801	Lymphedema-distichiasis syndrome	AD	153400				
FOXC2	3801	Lymphedema-distichiasis syndrome with renal disease and diabetes mellitus	AD	153400				
FOXE1	3806	Bamforth-Lazarus syndrome	AR	241850				
FOXE3	3808	Anterior segment dysgenesis 2, multiple subtypes	AR	610256				
FOXE3	3808	Cataract 34, multiple types	AR	612968				
FOXF1	3809	Alveolar capillary dysplasia with misalignment of pulmonary veins	AD	265380				
FOXG1	3811	Rett syndrome, congenital variant	AD	613454				
FOXI1	3815	Enlarged vestibular aqueduct	AR	600791				
FOXL2	1092	Blepharophimosis, epicanthus inversus, and ptosis, type 1	AD	110100				
FOXL2	1092	Blepharophimosis, epicanthus inversus, and ptosis, type 2	AD	110100				
FOXL2	1092	Premature ovarian failure 3	AD	608996				
FOXN1	12765	T-cell immunodeficiency, congenital alopecia, and nail dystrophy	AR	601705				
FOXP1	3823	Mental retardation with language impairment and with or without autistic features	AD	613670				
FOXP2	13875	Speech-language disorder-1	AD	602081				
FOXP3	6106	Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked	XR	304790				
FOXRED1	26927	Leigh syndrome due to mitochondrial complex I deficiency	M;AR	256000				
FOXRED1	26927	Mitochondrial complex I deficiency	M;AR;XD	252010				
FRAS1	19185	Fraser syndrome 1	AR	219000				
FREM1	23399	Bifid nose with or without anorectal and renal anomalies	AR	608980				
FREM1	23399	Manitoba oculotrichoanal syndrome	AR	248450				
FREM1	23399	Trigonocephaly 2	AD	614485				
FREM2	25396	Fraser syndrome 2	AR	617666				
FRMD4A	25491	?Corpus callosum, agenesis of, with facial anomalies and cerebellar ataxia	AR	616819				
FRMD7	8079	Nystagmus 1, congenital, X-linked	X	310700				
FRMD7	8079	Nystagmus, infantile periodic alternating, X-linked	X	310700				
FRMPD4	29007	Mental retardation, X-linked 104	XR	300983				
FRRS1L	1362	Epileptic encephalopathy, early infantile, 37	AR	616981				
FRY	20367	Intellectual disability	AR		21937992, 27457812			
FSCN2	3960	Retinitis pigmentosa 30	AD	607921				
FSHB	3964	Hypogonadotropic hypogonadism 24 without anosmia	AR	229070				
FSHR	3969	Ovarian dysgenesis 1	AR	233300				
FSHR	3969	Ovarian hyperstimulation syndrome	AD	608115				
FSHR	3969	Ovarian response to FSH stimulation	AR	276400				
FTCD	3974	Glutamate formiminotransferase deficiency	AR	229100				
FTH1	3976	?Hemochromatosis, type 5	AD	615517				
FTL	3999	Hyperferritinemia-cataract syndrome	AD	600886				
FTL	3999	L-ferritin deficiency, dominant and recessive	AR;AD	615604				
FTL	3999	Neurodegeneration with brain iron accumulation 3	AD	606159				
FTO	24678	Growth retardation, developmental delay, facial dysmorphism	AR	612938				
FTSJ1	13254	Mental retardation, X-linked 9/44	XR	309549				
FUCA1	4006	Fucosidosis	AR	230000				
FUS	4010	Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia	AD;AR	608030				
FUS	4010	Essential tremor, hereditary, 4	AD	614782				
FUT6	4017	Fucosyltransferase 6 deficiency	AR	613852		GUS		
FUZ	26219	Neural tube defects	AD	182940				
FXN	3951	Friedreich ataxia	AR	229300				
FXN	3951	Friedreich ataxia with retained reflexes	AR	229300				
FXYD2	4026	Hypomagnesemia 2, renal	AD	154020				
FYB	4036	Thrombocytopenia 3	AR	273900				
FYCO1	14673	Cataract 18, autosomal recessive	AR	610019				
FZD4	4042	Exudative vitreoretinopathy 1	AD	133780				
FZD4	4042	Retinopathy of prematurity	AD	133780				
FZD5	4043	Coloboma, ocular   	AD		26908622			
FZD6	4044	Nail disorder, nonsyndromic congenital, 10, (claw-shaped nails)	AR	614157				
G6PC	4056	Glycogen storage disease Ia	AR	232200				
G6PC3	24861	Dursun syndrome	AR	612541				
