# Genepanel: Ciliopati Version: 04 Date: 2017-03-02 Post-processed: 2017-03-10
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	HGNC	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds
15	55722505	55800432	NM_130810.3	0	-	DYX1C1	21493	EKN1,FLJ37882,CILD25,DNAAF4	ENSG00000256061	ENST00000321149	55722867	55790527	55722505,55724694,55727102,55731669,55742419,55759127,55783320,55789909,55790404,55800319	55722977,55724800,55727256,55731779,55742565,55759359,55783454,55790057,55790782,55800432
4	5712923	5816031	NM_153717.2	0	+	EVC	3497	DWF-1	ENSG00000072840	ENST00000264956	5713107	5812764	5712923,5720974,5731033,5733151,5735077,5743442,5746930,5749874,5754562,5755511,5757990,5785278,5795334,5798748,5800312,5803676,5806456,5809927,5811244,5812065,5812679	5713281,5721100,5731117,5733384,5735162,5743541,5747068,5750033,5754779,5755660,5758089,5785491,5795444,5798959,5800519,5803821,5806568,5810054,5811338,5812177,5816031
4	5564145	5710294	NM_147127.4	0	-	EVC2	19747	LBN	ENSG00000173040	ENST00000344408	5564574	5710240	5564145,5566984,5570170,5576411,5577966,5586349,5617148,5620204,5624263,5627475,5630285,5633519,5642240,5664833,5667241,5682986,5687096,5690883,5692991,5696061,5699319,5710012	5564842,5567086,5570367,5576499,5578181,5586577,5617271,5620409,5624718,5627635,5630461,5633759,5642565,5664973,5667376,5683040,5687206,5691070,5693060,5696228,5699374,5710294
16	90086036	90111379	NM_001286209.1	0	+	GAS8	4166	DRC4	ENSG00000141013	ENST00000536122	90094115	90109753	90086036,90094043,90097706,90099125,90102040,90102788,90103639,90104169,90106707,90108877,90109603	90086176,90094130,90097904,90099332,90102095,90102994,90103807,90104256,90106917,90108943,90111379
8	97154557	97173020	NM_001001557.2	0	-	GDF6	4221	BMP13,KFS,KFS1	ENSG00000156466	ENST00000287020	97156790	97172920	97154557,97172514	97157752,97173020
7	42000547	42276618	NM_000168.5	0	-	GLI3	4319	PAP-A,PAPA,PAPA1,PAPB,ACLS,PPDIV	ENSG00000106571	ENST00000395925	42003927	42262852	42000547,42007193,42011935,42017156,42018197,42063066,42064862,42065797,42079636,42084982,42088089,42116350,42187824,42262728,42276569	42006239,42007521,42012226,42017321,42018347,42063207,42064976,42066011,42079838,42085129,42088295,42116456,42188067,42262894,42276618
16	4382224	4389598	NM_032575.2	0	+	GLIS2	29450	NPHP7	ENSG00000126603	ENST00000433375	4382281	4387525	4382224,4383347,4384801,4385060,4385275,4386725	4382453,4383520,4384978,4385194,4385394,4389598
5	89854616	90460033	NM_032119.3	0	+	GPR98	17416		ENSG00000164199	ENST00000405460	89854712	90459717	89854616,89910651,89913620,89914902,89918413,89920946,89923027,89924378,89925026,89930930,89933541,89938452,89938672,89939619,89940522,89941784,89943314,89947420,89948162,89949025,89953721,89968362,89969870,89971059,89971896,89975365,89977131,89979402,89981596,89985677,89986613,89988421,89989706,89992753,89999481,90000205,90001216,90002047,90004632,90006797,90007000,90008103,90012283,90015864,90016751,90020648,90020902,90021365,90024485,90025458,90040862,90041407,90046367,90049390,90050799,90052270,90052795,90055225,90059121,90070002,90072269,90073721,90074243,90074681,90077246,90078940,90079654,90083887,90085518,90086689,90098555,90101100,90103418,90106049,90111435,90119241,90124760,90136394,90144453,90149100,90149878,90151557,90159573,90261231,90281160,90368263,90398035,90445846,90449037,90459598	89854734,89910836,89913770,89914998,89918518,89921060,89923593,89924649,89925356,89931107,89933765,89938579,89938858,89939800,89940686,89941908,89943581,89947547,89948380,89949769,89954095,89968539,89970051,89971262,89972026,89975446,89977271,89980012,89981812,89985893,89986858,89988603,89990518,89992963,89999612,90000305,90001396,90002211,90004726,90006876,90007139,90008245,90012546,90016040,90016876,90020806,90021049,90021473,90024750,90025581,90041082,90041612,90046514,90049646,90051002,90052447,90052978,90055405,90059286,90070120,90072393,90073860,90074426,90074914,90077395,90079142,90079874,90084127,90085668,90087163,90098699,90101275,90103554,90107155,90111553,90119413,90125003,90136802,90144638,90149350,90150018,90151718,90159674,90261348,90281339,90368421,90398157,90446038,90449215,90460033
17	7905987	7923658	NM_000180.3	0	+	GUCY2D	4689	retGC,RETGC-1,ROS-GC1,CYGD,LCA1	ENSG00000132518	ENST00000254854	7906365	7919848	7905987,7906356,7907169,7909680,7910377,7910743,7911248,7912823,7915461,7915767,7916420,7917197,7917918,7918176,7918645,7919060,7919244,7919522,7919760,7923445	7906052,7907086,7907474,7910032,7910462,7910846,7911350,7912904,7915668,7915924,7916570,7917346,7918082,7918369,7918820,7919159,7919339,7919608,7919872,7923658
7	766337	826116	NM_017802.3	0	+	HEATR2	26013		ENSG00000164818	ENST00000297440	766357	825290	766337,769299,780455,780983,794225,796418,801389,803442,810107,813684,814642,819589,825153	766952,769484,780580,781102,794458,796631,801533,803611,810255,813835,814799,819781,826116
17	36046433	36105069	NM_000458.3	0	-	HNF1B	11630	LFB3,VHNF1,HNF1beta,MODY5	ENSG00000108753	ENST00000225893	36047374	36104875	36046433,36059081,36060987,36064923,36070510,36091585,36093549,36099430,36104531	36047395,36059200,36061182,36065056,36070671,36091821,36093814,36099630,36105069
11	125753508	125770541	NM_145014.2	0	+	HYLS1	26558	FLJ32915	ENSG00000198331	ENST00000356438	125769263	125770163	125753508,125761317,125768998,125769238	125753912,125761367,125769053,125770541
3	129158878	129239350	NM_052985.3	0	+	IFT122	13556	WDR140,WDR10p,SPG	ENSG00000163913	ENST00000296266	129159173	129239108	129158878,129168713,129170756,129177441,129179696,129180070,129182402,129183477,129185732,129188184,129195157,129195505,129196858,129198627,129200372,129202327,129207099,129210983,129214288,129218744,129221553,129223161,129225251,129226510,129231154,129233231,129234330,129236311,129237949,129238410,129239018	129159214,129168780,129170841,129177520,129179849,129180147,129182469,129183624,129185909,129188260,129195349,129195644,129197061,129198765,129200537,129202525,129207240,129211037,129214450,129218911,129221725,129223264,129225392,129226605,129231255,129233397,129234442,129236437,129238029,129238575,129239350
16	1560427	1662109	NM_014714.3	0	-	IFT140	29077	gs114,KIAA0590	ENSG00000187535	ENST00000426508	1560944	1657267	1560427,1568216,1569881,1570131,1570602,1573518,1573828,1574552,1574784,1575231,1575887,1576619,1607935,1611985,1613997,1616161,1618217,1621407,1630759,1633314,1634217,1636130,1637198,1637933,1639605,1642176,1642467,1652370,1657120,1660664,1661968	1561151,1568358,1570048,1570344,1570809,1573701,1573957,1574696,1574917,1575327,1576078,1576797,1608135,1612117,1614163,1616292,1618335,1621535,1630851,1633387,1634421,1636276,1637305,1638025,1639781,1642319,1642589,1652592,1657298,1660854,1662109
2	27667239	27712678	NM_015662.2	0	-	IFT172	30391	SLB,wim,osm-1,NPHP17,BBS20	ENSG00000138002	ENST00000260570	27667298	27712520	27667239,27667880,27668162,27668611,27668795,27669126,27670381,27670678,27671781,27672160,27672365,27672557,27672864,27676250,27676496,27676848,27677220,27677433,27679377,27680505,27680707,27680992,27681645,27682244,27682575,27683881,27684135,27684625,27685567,27685963,27688277,27688612,27693794,27695116,27699507,27700083,27700425,27700861,27702375,27702892,27703912,27706155,27706446,27706738,27707093,27707884,27708226,27712481	27667388,27667972,27668316,27668710,27668855,27669222,27670501,27670789,27671898,27672247,27672429,27672667,27672963,27676380,27676606,27677029,27677285,27677527,27679520,27680622,27680843,27681090,27681735,27682389,27682696,27683960,27684384,27684703,27685660,27686048,27688385,27688749,27693962,27695229,27699593,27700187,27700479,27701023,27702471,27703016,27704127,27706243,27706526,27706804,27707133,27707997,27708370,27712678
22	37154245	37172177	NM_006860.4	0	-	IFT27	18626	RAYL,BBS19	ENSG00000100360	ENST00000340630	37154354	37171751	37154245,37158947,37159962,37162181,37163349,37163826,37171717	37154453,37159057,37160080,37162241,37163409,37163903,37172177
14	76452095	76550092	NM_052873.2	0	+	IFT43	29669	FLJ32173,MGC16028	ENSG00000119650	ENST00000238628	76452129	76549920	76452095,76455227,76488669,76542939,76548637,76548959,76549569,76549800	76452183,76455320,76488737,76543034,76548710,76549035,76549632,76550092
20	42219252	42275862	NM_016004.3	0	+	IFT52	15901	CGI-53,NGD5,dJ1028D15.1,NGD2	ENSG00000101052	ENST00000373030	42223338	42275623	42219252,42223332,42225074,42232399,42232822,42233641,42242489,42247579,42249496,42252530,42264565,42265784,42271118,42275575	42219694,42223457,42225162,42232529,42232898,42233713,42242616,42247666,42249565,42252685,42264653,42265893,42271264,42275862
9	26947036	27062931	NM_001099223.1	0	+	IFT74	21424	CMG1,CMG-1,FLJ22621	ENSG00000096872	ENST00000433700	26961965	27062734	26947036,26961946,26978125,26980568,26984254,26984496,26988666,26990131,27009017,27011903,27016904,27018644,27029022,27044739,27047271,27048145,27055606,27056331,27060588,27062615	26947144,26962085,26978261,26980617,26984353,26984557,26988726,26990193,27009156,27011966,27017048,27018685,27029102,27044793,27047369,27048272,27055770,27056457,27060649,27062931
3	159974773	160117320	NM_020800.2	0	-	IFT80	29262	KIAA1374	ENSG00000068885	ENST00000326448	159976312	160102388	159974773,159986200,159995093,159995368,159996980,159998454,160000265,160003591,160018670,160021702,160025450,160037547,160073800,160075276,160083830,160093599,160095217,160099290,160102349,160116933	159976423,159986324,159995266,159995458,159997152,159998602,160000401,160003656,160018834,160021777,160025569,160037727,160073938,160075366,160083940,160093668,160095328,160099510,160102434,160117320
7	128032330	128050036	NM_000883.3	0	-	IMPDH1	6052	sWSS2608,LCA11	ENSG00000106348	ENST00000338791	128033060	128049955	128032330,128034331,128034509,128034942,128035184,128036653,128036985,128038467,128040148,128040386,128040870,128041068,128043759,128045820,128049342,128049494,128049809	128033082,128034415,128034653,128035087,128035328,128036749,128037076,128038667,128040236,128040593,128040945,128041170,128043808,128045919,128049406,128049538,128050036
9	139323066	139334256	NM_019892.4	0	-	INPP5E	21474	PPI5PIV,CORS1,pharbin	ENSG00000148384	ENST00000371712	139324126	139333871	139323066,139324728,139325453,139326275,139326930,139327407,139327606,139328488,139329191,139333059	139324259,139324865,139325569,139326437,139327038,139327527,139327731,139328586,139329315,139334256
9	102861501	103063426	NM_014425.3	0	+	INVS	17870		ENSG00000119509	ENST00000262457	102866803	103062956	102861501,102866779,102888664,102988343,102991941,103002341,103004851,103008897,103014564,103015188,103027103,103035145,103046601,103054607,103059198,103060217,103062849	102861698,102866909,102888831,102988517,102992109,103002522,103004961,103009069,103014720,103015418,103027210,103035358,103046885,103055325,103059428,103060292,103063426
3	121488609	121553926	NM_001023570.2	0	-	IQCB1	28949	KIAA0036,NPHP5,SLSN5	ENSG00000173226	ENST00000310864	121489191	121547807	121488609,121491403,121500589,121507130,121508919,121514303,121515964,121518042,121526190,121527762,121544897,121547316,121547707,121553237,121553812	121489421,121491560,121500721,121507279,121509062,121514413,121516074,121518221,121526290,121527856,121545027,121547479,121547819,121553326,121553926
2	233630511	233641275	NM_002242.4	0	-	KCNJ13	6259	Kir7.1,Kir1.4,LCA16	ENSG00000115474	ENST00000233826	233632900	233636072	233630511,233635612,233641154	233633523,233636088,233641275
16	27561467	27791692	NM_015202.2	0	+	KIAA0556	29068	JBTS26	ENSG00000047578	ENST00000261588	27561491	27789950	27561467,27585221,27629745,27639981,27642385,27659924,27689049,27692719,27709648,27710854,27712909,27715216,27720025,27732878,27751361,27760904,27763039,27765493,27772733,27777629,27781181,27782908,27784419,27786265,27788248,27788930,27789201,27789894	27561498,27585277,27629822,27640151,27642483,27660056,27689317,27692851,27709821,27710920,27713016,27715319,27720241,27733016,27752241,27761627,27763245,27765572,27772911,27777795,27781339,27782973,27784530,27786405,27788350,27789091,27789290,27791692
14	58894102	59015549	NM_001244192.1	0	+	KIAA0586	19960	Talpid3,JBTS23	ENSG00000100578	ENST00000423743	58896136	59014650	58894102,58896080,58897365,58899105,58907938,58909423,58910671,58915057,58917296,58920067,58923419,58924476,58925190,58926560,58927703,58932552,58934452,58937330,58938916,58941324,58943840,58949230,58953724,58954604,58955338,58956881,58958861,58965500,58975272,58979239,59006788,59014498	58894355,58896151,58897435,58899175,58908061,58909598,58910893,58915211,58917464,58920191,58923528,58924697,58925263,58926788,58927878,58932747,58934640,58937441,58938997,58941515,58943959,58949430,58953884,58954827,58955592,58956958,58958993,58965678,58975427,58979345,59006854,59015549
15	90171200	90198682	NM_198525.2	0	-	KIF7	30497	JBTS12	ENSG00000166813	ENST00000394412	90171649	90196161	90171200,90172206,90172605,90173517,90174725,90176050,90176371,90176916,90185433,90188243,90188566,90189123,90190060,90190826,90191485,90192204,90192971,90195833,90198629	90172017,90172353,90172804,90173724,90174941,90176227,90176497,90177114,90185636,90188396,90188682,90189257,90190288,90190943,90192005,90192598,90193172,90196185,90198682
1	225589203	225615815	NM_002296.3	0	-	LBR	6518	DHCR14B,TDRD18	ENSG00000143815	ENST00000272163	225591004	225611777	225589203,225592105,225592327,225594365,225597992,225599038,225600155,225602979,225605685,225606964,225607416,225609778,225611612,225615655	225591165,225592228,225592408,225594534,225598118,225599142,225600347,225603034,225605882,225607154,225607500,225609979,225611791,225615815
6	80194707	80247147	NM_181714.3	0	-	LCA5	31923		ENSG00000135338	ENST00000392959	80196720	80228611	80194707,80198800,80201304,80202267,80203329,80222928,80228421,80234880,80246832	80197583,80198933,80201447,80202364,80203467,80223458,80228802,80234986,80247147
4	155665122	155674271	NM_004744.4	0	+	LRAT	6685	LCA14	ENSG00000121207	ENST00000336356	155665478	155670288	155665122,155665477,155670135	155665374,155666018,155674271
8	133584200	133687863	NM_012472.4	0	-	LRRC6	16725	TSLRP,LRTP,CILD19	ENSG00000129295	ENST00000519595	133584553	133687739	133584200,133595940,133622407,133623539,133627283,133634856,133637517,133644985,133650180,133669075,133673705,133687729	133584728,133596022,133622507,133623609,133627343,133634934,133637700,133645209,133650353,133669153,133673873,133687863
3	45864809	45883650	NM_020347.3	0	-	LZTFL1	6741	BBS17	ENSG00000163818	ENST00000296135	45867805	45883483	45864809,45868847,45869930,45872404,45872564,45874541,45875729,45877081,45879418,45883480	45867824,45868951,45870107,45872482,45872630,45874613,45875790,45877276,45879543,45883650
15	42066631	42120053	NM_014994.2	0	+	MAPKBP1	29536	KIAA0596	ENSG00000137802	ENST00000457542	42067473	42117634	42066631,42067364,42092020,42103080,42103375,42104154,42104713,42105116,42105818,42106747,42107456,42107821,42108756,42109107,42109585,42109811,42110206,42110391,42110716,42111020,42111443,42111792,42113029,42113781,42114162,42114422,42114790,42115136,42115644,42116681,42117406	42066808,42067587,42092112,42103143,42103433,42104325,42104851,42105299,42105979,42106937,42107603,42107997,42108848,42109233,42109656,42109933,42110282,42110503,42110780,42111155,42111577,42111848,42113266,42113948,42114308,42114620,42114875,42115420,42116259,42116767,42120053
5	54515424	54523143	NM_001190787.1	0	-	MCIDAS	40050	MCI,IDAS	ENSG00000234602	ENST00000513312	54516193	54522966	54515424,54516843,54518003,54518778,54522403,54522662,54522846	54516634,54516954,54518227,54518851,54522495,54522759,54523143
20	10385427	10412573	NM_018848.3	0	-	MKKS	7108		ENSG00000125863	ENST00000399054	10385894	10394162	10385427,10388263,10389275,10393177,10401175,10412331	10386335,10388374,10389451,10394579,10401406,10412573
17	56282796	56296666	NM_017777.3	0	-	MKS1	7121	FLJ20345,POC12,BBS13	ENSG00000011143	ENST00000393119	56283439	56296591	56282796,56283643,56283825,56284445,56285254,56285465,56285873,56288019,56288340,56289738,56290342,56291125,56291619,56292101,56293448,56294026,56295980,56296511	56283531,56283741,56283908,56284579,56285362,56285535,56285944,56288085,56288383,56289795,56290451,56291230,56291748,56292199,56293604,56294097,56296090,56296666
1	155158299	155162706	NM_002456.5	0	-	MUC1	7508	CD227,PEM,ADMCKD,ADMCKD1,MCKD,MCD	ENSG00000185499	ENST00000337604	155158610	155162634	155158299,155159700,155159930,155160197,155160483,155160638,155161973,155162576	155158685,155159850,155160052,155160334,155160539,155160761,155162074,155162706
11	76839309	76926286	NM_000260.3	0	+	MYO7A	7606	NSRD2	ENSG00000137474	ENST00000409709	76841680	76925741	76839309,76841634,76853754,76858843,76866952,76867705,76867907,76868324,76869322,76870492,76871208,76872018,76873165,76873898,76877101,76883793,76885801,76886417,76888594,76890090,76890780,76891419,76892425,76892996,76893468,76894112,76895632,76900388,76901064,76901741,76903095,76905398,76908525,76909539,76910579,76912492,76913344,76914104,76915120,76916506,76917141,76918333,76919474,76919741,76922196,76922865,76923996,76924904,76925651	76839535,76841698,76853868,76858996,76867137,76867827,76868050,76868438,76869476,76870569,76871328,76872161,76873376,76874034,76877208,76883931,76885960,76886510,76888689,76890175,76890999,76891527,76892635,76893200,76893645,76894202,76895760,76900515,76901184,76901915,76903323,76905569,76908643,76909666,76910863,76912683,76913469,76914262,76915274,76916662,76917247,76918447,76919562,76919848,76922382,76922982,76924080,76925024,76926286
4	170314420	170533778	NM_012224.2	0	-	NEK1	7744	NY-REN-55,KIAA1901	ENSG00000137601	ENST00000439128	170315660	170523781	170314420,170321375,170321671,170322802,170327746,170345703,170347296,170354695,170359233,170384393,170398274,170398582,170400553,170428187,170428865,170429398,170458959,170476870,170477082,170482630,170482837,170482982,170483287,170498078,170501992,170506499,170508709,170509799,170510597,170511876,170520250,170523158,170523664,170533170	170315674,170321508,170321802,170323011,170327898,170345951,170347385,170354816,170359410,170384546,170398503,170398648,170400685,170428283,170428943,170429482,170459062,170477002,170477246,170482705,170482888,170483042,170483347,170498230,170502053,170506700,170508764,170509886,170510665,170511960,170520348,170523255,170523829,170533778
17	27055831	27069784	NM_178170.2	0	+	NEK8	13387	NPHP9	ENSG00000160602	ENST00000268766	27055831	27069005	27055831,27061000,27061789,27062257,27064323,27064692,27064836,27065112,27065688,27066101,27067480,27067839,27068095,27068430,27068976	27055878,27061206,27062022,27062389,27064532,27064754,27065018,27065263,27065765,27066219,27067631,27068003,27068254,27068589,27069784
7	37888198	37940002	NM_016616.4	0	+	NME8	16473	CILD6,SPTRX2,NM23-H8	ENSG00000086288	ENST00000199447	37889868	37936694	37888198,37888425,37889861,37889979,37890230,37896875,37901629,37902997,37903949,37905126,37907303,37916433,37923904,37924746,37927878,37934067,37936471,37939845	37888330,37888658,37889901,37890037,37890337,37896947,37901746,37903064,37904023,37905219,37907500,37916609,37924049,37924854,37928030,37934212,37936709,37940002
1	10003485	10045556	NM_022787.3	0	+	NMNAT1	17877	NMNAT,PNAT1	ENSG00000173614	ENST00000377205	10032131	10042759	10003485,10032075,10035649,10041088,10042358	10003573,10032246,10035833,10041228,10045556
10	72191691	72201465	NM_018055.4	0	-	NODAL	7865		ENSG00000156574	ENST00000287139	72192691	72201423	72191691,72195041,72201230	72192844,72195739,72201465
2	110880913	110962639	NM_000272.3	0	-	NPHP1	7905	JBTS4,SLSN1	ENSG00000144061	ENST00000393272	110881367	110962545	110880913,110883213,110886762,110889255,110901118,110902069,110904329,110905492,110907758,110917703,110919179,110920624,110922096,110922628,110926028,110927382,110935999,110937200,110958997,110962476	110881640,110883258,110886836,110889368,110901218,110902146,110904412,110905603,110907833,110917832,110919274,110920712,110922307,110922732,110926130,110927575,110936124,110937261,110959071,110962639
3	132399452	132441303	NM_153240.4	0	-	NPHP3	7907	NPH3,KIAA2000,FLJ30691,FLJ36696,MKS7,SLSN3,CFAP31	ENSG00000113971	ENST00000337331	132400753	132441199	132399452,132401546,132402242,132403397,132405103,132405994,132407493,132407917,132409371,132410035,132411497,132413670,132415574,132416103,132418196,132418761,132419177,132420273,132423041,132424583,132426944,132431969,132433928,132435600,132437837,132438548,132440806	132400934,132401662,132402368,132403638,132405231,132406070,132407735,132408107,132409494,132410130,132411662,132413809,132415657,132416206,132418294,132418905,132419292,132420377,132423215,132424658,132427101,132432130,132434062,132435753,132437988,132438674,132441303
1	5922867	6052533	NM_015102.4	0	-	NPHP4	19104	SLSN4,KIAA0673,POC10	ENSG00000131697	ENST00000378156	5923324	6046349	5922867,5923949,5924397,5925161,5926432,5927089,5927799,5933311,5934530,5934933,5937152,5940173,5947345,5950927,5964676,5965351,5965691,5967174,5969211,5987708,5993206,6007163,6008129,6012759,6021853,6027358,6029146,6038329,6046214,6052303	5923465,5924093,5924577,5925333,5926518,5927175,5927956,5933395,5934717,5935160,5937358,5940299,5947526,5951088,5964864,5965543,5965843,5967282,5969273,5987847,5993389,6007290,6008311,6012896,6022009,6027423,6029319,6038473,6046387,6052533
X	13752831	13787480	NM_003611.2	0	+	OFD1	2567	71-7A,JBTS10	ENSG00000046651	ENST00000340096	13753190	13787227	13752831,13753366,13754596,13756964,13757120,13762533,13764437,13764898,13767545,13769367,13771486,13773269,13774696,13775778,13776455,13778233,13779203,13780462,13781863,13785245,13786172,13786836,13787184	13753202,13753465,13754797,13757033,13757151,13762638,13764574,13765072,13767652,13769487,13771560,13773361,13774886,13775909,13776567,13778839,13779330,13780563,13781974,13785403,13786343,13786904,13787480
10	55580859	56561051	NM_033056.3	0	-	PCDH15	14674	CDHR15	ENSG00000150275	ENST00000320301	55581617	56424022	55580859,55587152,55588324,55591074,55600079,55616934,55626401,55663002,55698574,55700625,55719491,55721511,55755408,55779951,55782651,55826516,55839090,55849743,55892634,55912859,55943203,55944893,55955442,55973695,55996582,56077030,56089355,56106124,56128879,56138541,56287571,56423931,56560684	55583118,55587308,55588333,55591293,55600256,55617023,55626617,55663130,55698715,55700735,55719604,55721652,55755525,55780176,55782957,55826645,55839184,55849823,55892767,55913053,55943353,55945028,55955649,55973808,55996691,56077201,56089466,56106244,56129035,56138702,56287637,56424050,56561051
2	232597134	232646037	NM_002601.3	0	-	PDE6D	8788	JBTS22	ENSG00000156973	ENST00000287600	232597661	232645824	232597134,232601896,232602722,232603809,232645774	232597743,232602002,232602848,232603898,232646037
6	51480144	51952423	NM_138694.3	0	-	PKHD1	9016	ARPKD,FCYT,FPC	ENSG00000170927	ENST00000371117	51483878	51949731	51480144,51491794,51497362,51503646,51512828,51513882,51523749,51609182,51611518,51612584,51617998,51619581,51637499,51640605,51656033,51695658,51701201,51712572,51720690,51732660,51735301,51747890,51750664,51751930,51768394,51768783,51771012,51774080,51776596,51777163,51798907,51824667,51875106,51882207,51887598,51889371,51892626,51892953,51897827,51900388,51907656,51908422,51909763,51910801,51913289,51914954,51917873,51918835,51920384,51921495,51921687,51923120,51924725,51927316,51929752,51930773,51934254,51935203,51935803,51936912,51938260,51941073,51944697,51947189,51947975,51949679,51952231	51484318,51491914,51497521,51503754,51512916,51514018,51524767,51609340,51611687,51613463,51618151,51619736,51637587,51640719,51656171,51695787,51701267,51712768,51720868,51732907,51735437,51748025,51750770,51752043,51768525,51768840,51771138,51774272,51776754,51777374,51799120,51824824,51875257,51882427,51887742,51890979,51892694,51893149,51897963,51900519,51907932,51908528,51909886,51910986,51913417,51915093,51918049,51918963,51920527,51921586,51921777,51923399,51924840,51927458,51929848,51930875,51934325,51935243,51935868,51936987,51938339,51941131,51944806,51947340,51948053,51949815,51952423
6	42664332	42690358	NM_000322.4	0	-	PRPH2	9942	TSPAN22,rd2,CACD2	ENSG00000112619	ENST00000230381	42666032	42690072	42664332,42672102,42689491	42666245,42672349,42690358
1	211649863	211666259	NM_183059.2	0	-	RD3	19689	LCA12	ENSG00000198570	ENST00000367002	211652377	211654757	211649863,211654461,211665109	211652669,211654771,211666259
14	68168602	68201168	NM_152443.2	0	+	RDH12	19977	FLJ30273,SDR7C2,LCA13,RP53	ENSG00000139988	ENST00000551171	68189359	68200565	68168602,68187564,68189140,68191189,68191815,68192767,68193697,68195907,68200462	68168652,68187619,68189427,68191308,68191971,68192872,68193907,68196097,68201168
1	204123943	204135465	NM_000537.3	0	-	REN	9958		ENSG00000143839	ENST00000272190	204124143	204135421	204123943,204124947,204125305,204125804,204126488,204128526,204129687,204130419,204131140,204135323	204124305,204125046,204125447,204125924,204126497,204128723,204129806,204130543,204131291,204135465
1	68894506	68915642	NM_000329.2	0	-	RPE65	10294	LCA2,rd12,BCO3	ENSG00000116745	ENST00000262340	68895458	68915588	68894506,68896747,68896964,68897153,68903869,68904624,68904873,68905243,68906535,68910213,68910458,68912392,68914306,68915577	68895610,68896859,68897059,68897268,68903999,68904764,68905006,68905325,68906683,68910355,68910566,68912543,68914389,68915642
X	38128422	38186788	NM_000328.2	0	-	RPGR	10295	CORDX1	ENSG00000156313	ENST00000318842	38128878	38186620	38128422,38132638,38134341,38135839,38146346,38147113,38150211,38150645,38156536,38158208,38160499,38163887,38169867,38176568,38178081,38180279,38182105,38182651,38186592	38129085,38132730,38134399,38136025,38146498,38147294,38150277,38150737,38156705,38158394,38160624,38164043,38170026,38176718,38178240,38180342,38182198,38182777,38186788
14	21756135	21819460	NM_020366.3	0	+	RPGRIP1	13436	RGI1,LCA6,CORD13	ENSG00000092200	ENST00000400017	21756135	21819375	21756135,21762835,21769124,21770646,21771489,21775889,21778742,21779982,21780591,21785854,21788175,21789417,21790012,21792776,21793390,21793989,21795781,21796582,21798407,21802763,21811194,21813271,21816330,21819262	21756220,21762968,21769396,21770743,21771702,21775995,21778766,21780129,21780665,21786009,21788336,21789561,21790163,21793229,21793542,21794332,21795966,21796786,21798546,21802864,21811387,21813356,21816461,21819460
16	53633817	53737771	NM_015272.2	0	-	RPGRIP1L	29168	KIAA1005,CORS3,JBTS7,MKS5,NPHP8,FTM,PPP1R134	ENSG00000103494	ENST00000379925	53635987	53734635	53633817,53639392,53644878,53652936,53656130,53670350,53671606,53672221,53674944,53675196,53679536,53682875,53686446,53690383,53691364,53692325,53692683,53698781,53705421,53706781,53708928,53720344,53721774,53725977,53730062,53734550,53737714	53636100,53639526,53644963,53653120,53656268,53670424,53671766,53672323,53675028,53675387,53679915,53683027,53686899,53690501,53691544,53692376,53692790,53698921,53705495,53706928,53709034,53720488,53721877,53726276,53730207,53734642,53737771
21	43892596	43916464	NM_080860.3	0	-	RSPH1	12371	FLJ32753,RSP44,RSPH10A,CILD24	ENSG00000160188	ENST00000291536	43892927	43916296	43892596,43896007,43897400,43902746,43905778,43906480,43912867,43913075,43916242	43892980,43896157,43897554,43902818,43905914,43906571,43912973,43913189,43916464
6	159398265	159421198	NM_031924.4	0	-	RSPH3	21054	dJ111C20.1,RSP3	ENSG00000130363	ENST00000252655	159398569	159421008	159398265,159399291,159401805,159403516,159404693,159407311,159414870,159420466	159398880,159399378,159401968,159403720,159404839,159407453,159414958,159421198
6	116937641	116954148	NM_001010892.2	0	+	RSPH4A	21558	dJ412I7.1,FLJ37974,RSPH6B,CILD11	ENSG00000111834	ENST00000229554	116937786	116953604	116937641,116943930,116948791,116950729,116951597,116953369	116938472,116944165,116949532,116950865,116951715,116954148
6	43612766	43638748	NM_152732.4	0	+	RSPH9	21057	FLJ30845,CILD12	ENSG00000172426	ENST00000372163	43612835	43638686	43612766,43618111,43623298,43624313,43638525	43613062,43618277,43623428,43624460,43638748
7	66452689	66460588	NM_016038.2	0	-	SBDS	19440	CGI-97,FLJ10917,SDS,SWDS	ENSG00000126524	ENST00000246868	66453357	66460404	66452689,66456123,66458203,66459198,66460276	66453486,66456288,66458404,66459328,66460588
12	6456008	6484905	NM_001038.5	0	-	SCNN1A	10599	ENaCalpha	ENSG00000111319	ENST00000228916	6457038	6483949	6456008,6457892,6458115,6458329,6458492,6463603,6463915,6464437,6464942,6471216,6472608,6483533,6484670	6457419,6457968,6458171,6458387,6458571,6463721,6464014,6464601,6465046,6471407,6472876,6484003,6484905
16	23313590	23392620	NM_000336.2	0	+	SCNN1B	10600	ENaCbeta	ENSG00000168447	ENST00000343070	23359920	23392122	23313590,23359912,23364121,23366619,23379176,23382619,23383096,23387058,23388485,23388649,23390026,23391414,23391741	23313758,23360231,23364395,23366810,23379280,23382783,23383204,23387176,23388561,23388707,23390088,23391490,23392620
